start;f0
0.0;0.0
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;312.261295784209
0.21;320.8065126330961
0.22;325.2030003306008
0.23;325.24061187713613
0.24;327.672987536888
0.25;328.9913513333778
0.26;328.9913513333778
0.27;331.7377708079917
0.28;331.7377708079917
0.29;331.69374064329475
0.3;331.6797958757383
0.31;331.6797958757383
0.32;331.6797958757383
0.33;331.8773421765953
0.34;331.8773421765953
0.35000000000000003;331.8773421765953
0.36;331.8773421765953
0.37;331.8773421765953
0.38;332.0390665675899
0.39;332.0390665675899
0.4;332.0390665675899
0.41000000000000003;332.0390665675899
0.42;333.45675700781874
0.43;333.45675700781874
0.44;333.45675700781874
0.45;334.5875736068809
0.46;334.5875736068809
0.47000000000000003;334.5875736068809
0.48;334.9756764704359
0.49;334.9756764704359
0.5;334.9756764704359
0.51;334.9756764704359
0.52;334.9756764704359
0.53;334.9756764704359
0.54;333.96625674078103
0.55;333.7298397136243
0.56;333.7298397136243
0.5700000000000001;333.7298397136243
0.58;333.7298397136243
0.59;333.7298397136243
0.6;333.7298397136243
0.61;333.6120117316028
0.62;333.6120117316028
0.63;333.6120117316028
0.64;333.6120117316028
0.65;332.8424728076326
0.66;332.8424728076326
0.67;332.8424728076326
0.68;334.1501238603154
0.6900000000000001;334.1501238603154
0.7000000000000001;334.1501238603154
0.71;334.1501238603154
0.72;334.1501238603154
0.73;334.1501238603154
0.74;340.29812137875933
0.75;342.77170839271196
0.76;340.29812137875933
0.77;293.2151619262515
0.78;293.2151619262515
0.79;294.5455085090316
0.8;295.2551314229057
0.81;296.17907659095783
0.8200000000000001;297.36854206985737
0.8300000000000001;297.4780133528848
0.84;297.4780133528848
0.85;298.00985611835154
0.86;298.00985611835154
0.87;298.00985611835154
0.88;298.00985611835154
0.89;298.00985611835154
0.9;296.53002836130565
0.91;296.53002836130565
0.92;296.53002836130565
0.93;296.53002836130565
0.9400000000000001;296.53002836130565
0.9500000000000001;296.53002836130565
0.96;297.02443249601725
0.97;297.1335418027622
0.98;297.1335418027622
0.99;296.8688495971596
1.0;296.8688495971596
1.01;296.8688495971596
1.02;296.8688495971596
1.03;296.8688495971596
1.04;296.7487668705551
1.05;296.69260305298184
1.06;296.7487668705551
1.07;297.07149192100695
1.08;297.0807400957291
1.09;297.09630134838295
1.1;297.09630134838295
1.11;297.09630134838295
1.12;297.0543968235616
1.1300000000000001;297.0543968235616
1.1400000000000001;296.97860352776854
