start;f0;confidence
0;181.06209418938;0.00357222557067871
0.01;180.044353919863;0.0135022103786469
0.02;179.846513928808;0.0100246369838715
0.03;181.118813331624;0.00567114353179932
0.04;181.574283957528;0.00549033284187317
0.05;181.850171192599;0.0294097065925598
0.06;181.496810093904;0.0165826380252838
0.07;179.653687083752;0.00351068377494812
0.08;178.007903216324;0.002015620470047
0.09;178.238589767848;0.00282660126686096
0.1;180.111889816321;0.00969308614730835
0.11;181.097898985505;0.0124122202396393
0.12;180.945737060106;0.0183587670326233
0.13;176.87687255847;0.0318525433540344
0.14;172.728458414823;0.137387990951538
0.15;169.769534101753;0.414821684360504
0.16;163.859449418803;0.572149276733398
0.17;160.274342142532;0.679161489009857
0.18;156.906717356298;0.81129652261734
0.19;156.026785215163;0.893761277198792
0.2;156.403117013589;0.926231741905212
0.21;157.08717099497;0.914135575294495
0.22;157.244895685302;0.92739462852478
0.23;157.316008405335;0.934600532054901
0.24;157.97014639181;0.933727860450745
0.25;159.194981844992;0.917451739311218
0.26;161.054037882513;0.918521761894226
0.27;162.5912981152;0.924436688423157
0.28;164.453384610812;0.936484098434448
0.29;165.82034493354;0.950074553489685
0.3;167.555549276578;0.922840595245361
0.31;169.233068298108;0.893059015274048
0.32;171.029170727883;0.90316104888916
0.33;172.336416179817;0.914898753166199
0.34;172.855885945668;0.92440390586853
0.35;173.759191680441;0.92726457118988
0.36;174.711418719451;0.946789503097534
0.37;176.006614281639;0.921902298927307
0.38;178.153542039037;0.908920407295227
0.39;180.146046777766;0.918042302131653
0.4;181.938488160354;0.938489437103272
0.41;182.622816974032;0.924196779727936
0.42;182.452293471022;0.917926609516144
0.43;181.609223143278;0.936603546142578
0.44;180.587601146818;0.921157240867615
0.45;179.886796392673;0.941058993339539
0.46;179.810328642436;0.939339518547058
0.47;180.30734975942;0.924112915992737
0.48;181.380959173169;0.940196931362152
0.49;183.147656010583;0.935659229755402
0.5;184.962490060105;0.940758883953094
0.51;186.408837412412;0.918054401874542
0.52;188.063689615909;0.916360378265381
0.53;189.103049853284;0.908307194709778
0.54;189.361433056124;0.917673707008362
0.55;189.119979975239;0.906713485717773
0.56;189.163992553629;0.909473180770874
0.57;189.888413045761;0.918641090393066
0.58;190.874152661917;0.89711856842041
0.59;192.096053919008;0.92201042175293
0.6;193.493838309956;0.902580916881561
0.61;194.738967837995;0.941435217857361
0.62;195.538982022098;0.928772509098053
0.63;195.614285490701;0.927656054496765
0.64;195.260083780649;0.941094160079956
0.65;194.436702139073;0.945362627506256
0.66;193.367615431645;0.895214438438416
0.67;192.819704715043;0.916169047355652
0.68;192.399790335717;0.929179906845093
0.69;192.30031150123;0.923704743385315
0.7;192.294476092638;0.926058530807495
0.71;192.148521741585;0.925218224525452
0.72;191.881374642701;0.92038905620575
0.73;191.562130426621;0.910288095474243
0.74;190.882855299832;0.902852416038513
0.75;190.376185323551;0.921283006668091
0.76;189.844028554673;0.921661019325256
0.77;189.744445093577;0.925941050052643
0.78;190.50112543048;0.916445374488831
0.79;191.839070490681;0.918398022651672
0.8;193.054329945798;0.907542109489441
0.81;194.160519314582;0.9362553358078
0.82;194.853648796379;0.948889374732971
0.83;194.933098780015;0.948325157165527
0.84;194.811176113935;0.946556746959686
0.85;194.946700298196;0.943959712982178
0.86;194.952062553439;0.948910415172577
0.87;195.116364482979;0.946662902832031
0.88;194.801760744223;0.946848452091217
0.89;194.316996060952;0.943042874336243
0.9;194.014583554868;0.93618780374527
0.91;194.299282687487;0.939661979675293
0.92;194.779392585987;0.94037401676178
0.93;195.145635580819;0.943132996559143
0.94;195.184012546222;0.94306218624115
0.95;194.651786465162;0.949357032775879
0.96;194.372177759048;0.944886803627014
0.97;194.204602248048;0.944349646568299
0.98;194.626729924919;0.946915149688721
0.99;194.897928103973;0.945465803146362
1;195.028735263422;0.95017147064209
1.01;194.900418231137;0.949061512947082
1.02;194.604884396109;0.946544647216797
1.03;194.605915373088;0.945062100887299
1.04;194.422174557017;0.949168145656586
1.05;194.440768105636;0.94647204875946
1.06;194.131764232406;0.936424136161804
1.07;193.928268652694;0.933562397956848
1.08;193.860714895153;0.927346706390381
1.09;193.643139459811;0.912106275558472
1.1;193.671824803082;0.916645348072052
1.11;193.607532898263;0.915953636169434
1.12;193.633305919777;0.916245341300964
1.13;193.958337655721;0.932982921600342
1.14;194.083485048027;0.935413479804993
1.15;194.058725824953;0.932523608207703
1.16;194.148804618403;0.938607454299927
1.17;193.69777749083;0.921880006790161
1.18;193.070318923364;0.901151299476624
1.19;192.540164103727;0.925557374954224
1.2;192.35077272634;0.927941143512726
