start;f0
0;0
0.0058049887;0
0.0116099773;0
0.017414966;0
0.0232199546;0
0.0290249433;0
0.034829932;0
0.0406349206;0
0.0464399093;0
0.052244898;0
0.0580498866;0
0.0638548753;0
0.0696598639;0
0.0754648526;0
0.0812698413;0
0.0870748299;0
0.0928798186;0
0.0986848073;0
0.1044897959;0
0.1102947846;0
0.1160997732;0
0.1219047619;0
0.1277097506;0
0.1335147392;0
0.1393197279;0
0.1451247166;0
0.1509297052;0
0.1567346939;0
0.1625396825;0
0.1683446712;0
0.1741496599;0
0.1799546485;0
0.1857596372;0
0.1915646259;0
0.1973696145;0
0.2031746032;0
0.2089795918;0
0.2147845805;0
0.2205895692;0
0.2263945578;0
0.2321995465;0
0.2380045351;0
0.2438095238;0
0.2496145125;0
0.2554195011;0
0.2612244898;0
0.2670294785;0
0.2728344671;0
0.2786394558;0
0.2844444444;0
0.2902494331;0
0.2960544218;0
0.3018594104;0
0.3076643991;514.118
0.3134693878;515.199
0.3192743764;514.726
0.3250793651;514.003
0.3308843537;512.128
0.3366893424;510.243
0.3424943311;509.311
0.3482993197;508.728
0.3541043084;508.399
0.3599092971;508.499
0.3657142857;508.597
0.3715192744;509.159
0.377324263;510.01
0.3831292517;511.324
0.3889342404;514.205
0.394739229;516.437
0.4005442177;518.071
0.4063492063;519.252
0.412154195;519.891
0.4179591837;520.412
0.4237641723;525.923
0.429569161;526.278
0.4353741497;526.311
0.4411791383;526.634
0.446984127;527.343
0.4527891156;527.282
0.4585941043;527.25
0.464399093;527.47
0.4702040816;527.772
0.4760090703;528.073
0.481814059;528.53
0.4876190476;529.168
0.4934240363;530.113
0.4992290249;530.698
0.5050340136;531.396
0.5108390023;532.379
0.5166439909;532.557
0.5224489796;532.62
0.5282539683;533.597
0.5340589569;533.212
0.5398639456;531.432
0.5456689342;530.128
0.5514739229;530.723
0.5572789116;534.912
0.5630839002;536.053
0.5688888889;534.794
0.5746938776;533.546
0.5804988662;532.093
0.5863038549;531.004
0.5921088435;530.27
0.5979138322;529.67
0.6037188209;529.322
0.6095238095;529.631
0.6153287982;530.063
0.6211337868;530.831
0.6269387755;532.033
0.6327437642;533.074
